Gene	Annotation
N0.HOG0014721	Uncharacterized protein
N0.HOG0014722	LOW QUALITY PROTEIN: CCR4-NOT transcription complex subunit 1-like
N0.HOG0014723	tumor protein p63-regulated gene 1-like protein
N0.HOG0014724	Sepiapterin reductase
N0.HOG0014725	ubiquitin-40S ribosomal protein S27a isoform X2
N0.HOG0014726	Dehydrogenase/reductase SDR family member; Retinol dehydrogenase 14
N0.HOG0014727	Ionotropic receptor 10a
N0.HOG0014728	Fatty acyl-CoA reductase
N0.HOG0014729	Sterile domain-containing protein
N0.HOG0014730	Methuselah 15-like protein
N0.HOG0014731	transforming growth factor-beta-induced protein ig-h3-like
N0.HOG0014732	Protein kinase domain-containing protein
N0.HOG0014733	26S proteasome non-ATPase regulatory subunit 1-like
N0.HOG0014734	PB1 domain-containing protein
N0.HOG0014735	beta-1,4-N-acetylgalactosaminyltransferase bre-4-like
N0.HOG0014736	CUB domain-containing protein
N0.HOG0014737	Uncharacterized protein
N0.HOG0014738	Methyltransf_21 domain-containing protein
N0.HOG0014739	Uncharacterized protein
N0.HOG0014740	Uncharacterized protein
N0.HOG0014741	5'-3' exoribonuclease 2-like
N0.HOG0014742	Uncharacterized protein
N0.HOG0014743	Cntnap2 protein
N0.HOG0014744	Uncharacterized protein
N0.HOG0014745	Peptidase S1 domain-containing protein
N0.HOG0014746	Folate gamma-glutamyl hydrolase
N0.HOG0014747	Chitin-binding type-2 domain-containing protein
N0.HOG0014748	Chitin-binding type-2 domain-containing protein
N0.HOG0014749	Glyco_tran_10_N domain-containing protein
N0.HOG0014750	beta-1,4-galactosyltransferase 3-like
N0.HOG0014751	WD_REPEATS_REGION domain-containing protein
N0.HOG0014752	ankyrin-1-like
N0.HOG0014753	protein ROP-like
N0.HOG0014754	Uncharacterized protein
N0.HOG0014755	Uncharacterized protein
N0.HOG0014756	Kinesin-like protein KLP1
N0.HOG0014757	TE: DNA transposase THAP9
N0.HOG0014758	HATPase_c domain-containing protein
N0.HOG0014759	Uncharacterized protein
N0.HOG0014760	C1q domain-containing protein
N0.HOG0014761	Peptidase M12B domain-containing protein
N0.HOG0014762	uncharacterized protein LOC124317146
N0.HOG0014763	Uncharacterized protein
N0.HOG0014764	Uncharacterized protein
N0.HOG0014765	alpha-crystallin A chain-like isoform X1
N0.HOG0014766	ZnMc domain-containing protein
N0.HOG0014767	Baculoviral IAP repeat-containing protein 6
N0.HOG0014768	Csat; Udp-n-acetylglucosamine transporter
N0.HOG0014769	REPA_OB_2 domain-containing protein
N0.HOG0014770	Uncharacterized protein
N0.HOG0014771	flocculation protein FLO11-like
N0.HOG0014772	repetitive proline-rich cell wall protein 2-like
N0.HOG0014773	E3 ubiquitin-protein ligase RNF170-like
N0.HOG0014774	all trans-polyprenyl-diphosphate synthase PDSS1-like
N0.HOG0014775	Chordin protein 2
N0.HOG0014776	EOG090X0971
N0.HOG0014777	Uncharacterized protein
N0.HOG0014778	Uncharacterized protein
N0.HOG0014779	INCENP_ARK-bind domain-containing protein
N0.HOG0014780	Uncharacterized protein
N0.HOG0014781	glutamate receptor 2-like
N0.HOG0014782	Uncharacterized protein
N0.HOG0014783	Uncharacterized protein
N0.HOG0014784	Methyltransf_21 domain-containing protein
N0.HOG0014785	zinc finger protein 84-like isoform X1
N0.HOG0014786	tRNA-synt_1e domain-containing protein
N0.HOG0014787	C2H2-type domain-containing protein
N0.HOG0014788	Uncharacterized protein
N0.HOG0014789	structural maintenance of chromosomes protein 1A-like
N0.HOG0014790	Chitin-binding type-4 domain-containing protein
N0.HOG0014791	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
N0.HOG0014792	PKS_ER domain-containing protein
N0.HOG0014793	Uncharacterized protein
N0.HOG0014794	Acylphosphatase
N0.HOG0014795	Uncharacterized protein
N0.HOG0014796	Uncharacterized protein
N0.HOG0014797	Uncharacterized protein
N0.HOG0014798	Uncharacterized protein
N0.HOG0014799	Uncharacterized protein
N0.HOG0014800	ANK_REP_REGION domain-containing protein
N0.HOG0014801	Gamma-glutamylcyclotransferase
N0.HOG0014802	dentin sialophosphoprotein-like
N0.HOG0014803	importin subunit alpha-8-like
N0.HOG0014804	Uncharacterized protein
N0.HOG0014805	Glycosyltransferase family 92 protein
N0.HOG0014806	RUS1 family protein
N0.HOG0014807	glycine-rich protein HC1-like
N0.HOG0014808	Uncharacterized protein
N0.HOG0014809	Uncharacterized protein
N0.HOG0014810	Uncharacterized protein
N0.HOG0014811	Uncharacterized protein
N0.HOG0014812	BTB domain-containing protein
N0.HOG0014813	RNase III domain-containing protein
N0.HOG0014814	Uncharacterized protein
N0.HOG0014815	protein toll-like
N0.HOG0014816	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0014817	importin subunit alpha-8-like
N0.HOG0014818	Uncharacterized protein
N0.HOG0014819	Uncharacterized protein
N0.HOG0014820	chloride intracellular channel exl-1-like
N0.HOG0014821	Uncharacterized protein
N0.HOG0014822	putative fatty acyl-CoA reductase CG5065
N0.HOG0014823	protein strawberry notch-like
N0.HOG0014824	C1q domain-containing protein
N0.HOG0014825	leucine-rich PPR motif-containing protein, mitochondrial-like isoform X1
N0.HOG0014826	DNA-directed RNA polymerase II subunit RPB7
N0.HOG0014827	endocuticle structural glycoprotein ABD-4-like
N0.HOG0014828	Uncharacterized protein
N0.HOG0014829	Uncharacterized protein
N0.HOG0014830	Uncharacterized protein
N0.HOG0014831	Uncharacterized protein
N0.HOG0014832	BTB domain-containing protein
N0.HOG0014833	PPIase cyclophilin-type domain-containing protein
N0.HOG0014834	TFIIS central domain-containing protein
N0.HOG0014835	pollen-specific leucine-rich repeat extensin-like protein 2 isoform X1
N0.HOG0014836	regulator of G-protein signaling 8-like
N0.HOG0014837	Uncharacterized protein
N0.HOG0014838	C1q domain-containing protein
N0.HOG0014839	Uncharacterized protein
N0.HOG0014840	Uncharacterized protein
N0.HOG0014841	Epidermal cell-derived protein
N0.HOG0014842	Uncharacterized protein
N0.HOG0014843	Uncharacterized protein
N0.HOG0014844	Chitin-binding type-2 domain-containing protein
N0.HOG0014845	uncharacterized protein LOC124207340
N0.HOG0014846	caspase-1-like
N0.HOG0014847	tyrosyl-DNA phosphodiesterase 2-like
N0.HOG0014848	fibulin-7-like
N0.HOG0014849	ovoinhibitor-like
N0.HOG0014850	uncharacterized protein LOC124189791
N0.HOG0014851	uncharacterized protein LOC124189957
N0.HOG0014852	uncharacterized protein LOC124190009
N0.HOG0014853	uncharacterized protein LOC124190230
N0.HOG0014854	uncharacterized protein LOC124190289
N0.HOG0014855	secreted acidic protein 2-like
N0.HOG0014856	DNA-directed RNA polymerase III subunit RPC10-like
N0.HOG0014857	caseinolytic peptidase B protein homolog
N0.HOG0014858	mitochondrial distribution and morphology protein 34-like
N0.HOG0014859	uncharacterized protein LOC124330213
N0.HOG0014860	PHD finger protein ALFIN-LIKE 1-like
N0.HOG0014861	uncharacterized protein LOC124190729
N0.HOG0014862	uncharacterized protein LOC124190838
N0.HOG0014863	serine/threonine-protein kinase/endoribonuclease ire-1-like
N0.HOG0014864	F-box/WD repeat-containing protein 11-like
N0.HOG0014865	uncharacterized protein LOC124335875
N0.HOG0014866	uncharacterized protein LOC124192166
N0.HOG0014867	uncharacterized protein LOC124192457
N0.HOG0014868	uncharacterized protein LOC124193062
N0.HOG0014869	uncharacterized protein LOC124193063
N0.HOG0014870	apoptosis-inducing factor 1, mitochondrial-like
N0.HOG0014871	myosin-11-like
N0.HOG0014872	uncharacterized protein LOC124193499
N0.HOG0014873	LOW QUALITY PROTEIN: ribosome biogenesis protein BMS1 homolog
N0.HOG0014874	zinc finger protein ZXDC-like
N0.HOG0014875	uncharacterized protein LOC124193665
N0.HOG0014876	probable ubiquitin carboxyl-terminal hydrolase 16
N0.HOG0014877	uncharacterized protein LOC124200436
N0.HOG0014878	uncharacterized protein LOC124193890
N0.HOG0014879	histone H3.3-like
N0.HOG0014880	transient receptor potential cation channel subfamily M member-like 2
N0.HOG0014881	neprilysin-3-like
N0.HOG0014882	uncharacterized protein LOC124194886
N0.HOG0014883	skin secretory protein xP2-like
N0.HOG0014884	putative vitellogenin receptor
N0.HOG0014885	protein fem-1 homolog A-A-like
N0.HOG0014886	cuticle protein CP14.6-like
N0.HOG0014887	uncharacterized protein LOC124197111 isoform X1
N0.HOG0014888	aladin-like
N0.HOG0014889	ATP synthase subunit O, mitochondrial-like
N0.HOG0014890	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0014891	uncharacterized protein LOC124197426
N0.HOG0014892	cAMP-dependent protein kinase, catalytic subunit-like isoform X1
N0.HOG0014893	importin subunit alpha-1-like isoform X1
N0.HOG0014894	uncharacterized protein LOC124197485
N0.HOG0014895	chymotrypsin-like elastase family member 2A
N0.HOG0014896	uncharacterized protein LOC124197778 isoform X1
N0.HOG0014897	beclin-1-like protein B
N0.HOG0014898	protein fem-1 homolog C-like
N0.HOG0014899	uncharacterized protein LOC124197802
N0.HOG0014900	uncharacterized protein LOC124315583
N0.HOG0014901	uncharacterized protein LOC124197986 isoform X1
N0.HOG0014902	uncharacterized protein LOC124198382
N0.HOG0014903	neurofilament medium polypeptide-like
N0.HOG0014904	integrator complex subunit 1-like
N0.HOG0014905	transcription initiation factor TFIID subunit 11-like
N0.HOG0014906	chymotrypsin-like elastase family member 2A
N0.HOG0014907	nodal modulator 3-like
N0.HOG0014908	uncharacterized protein LOC124199522
N0.HOG0014909	vascular endothelial growth factor receptor 2-like isoform X2
N0.HOG0014910	uncharacterized protein LOC124199712
N0.HOG0014911	flagellar attachment zone protein 1-like
N0.HOG0014912	uncharacterized protein LOC124200050 isoform X1
N0.HOG0014913	uncharacterized protein LOC124200384
N0.HOG0014914	venom carboxylesterase-6-like
N0.HOG0014915	restin homolog
N0.HOG0014916	mucin-2-like, partial
N0.HOG0014917	DNA-directed RNA polymerase, mitochondrial-like
N0.HOG0014918	solute carrier family 35 member F6-like, partial
N0.HOG0014919	uncharacterized protein LOC124200852
N0.HOG0014920	uncharacterized protein LOC124314384
N0.HOG0014921	brachyurin-like
N0.HOG0014922	alpha carbonic anhydrase 8-like
N0.HOG0014923	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4-like
N0.HOG0014924	TD and POZ domain-containing protein 1-like
N0.HOG0014925	cylicin-1-like
N0.HOG0014926	mucin-5AC-like
N0.HOG0014927	extensin-2-like
N0.HOG0014928	uncharacterized protein LOC124202656
N0.HOG0014929	transforming growth factor-beta-induced protein ig-h3-like
N0.HOG0014930	uncharacterized protein LOC124202959
N0.HOG0014931	uncharacterized protein LOC124203045
N0.HOG0014932	uncharacterized protein LOC124203098 isoform X1
N0.HOG0014933	protein unc-45 homolog A-like
N0.HOG0014934	uncharacterized protein LOC124203457
N0.HOG0014935	uncharacterized protein LOC124203494
N0.HOG0014936	heterogeneous nuclear ribonucleoprotein Q-like
N0.HOG0014937	ABC transporter G family member 20-like
N0.HOG0014938	cell wall protein DAN4-like
N0.HOG0014939	glycoprotein 3-alpha-L-fucosyltransferase A-like
N0.HOG0014940	accumulation-associated protein-like
N0.HOG0014941	leucine-rich repeat serine/threonine-protein kinase 1-like
N0.HOG0014942	compound eye opsin BCRH2-like
N0.HOG0014943	uncharacterized protein LOC124204396
N0.HOG0014944	ankyrin-1-like
N0.HOG0014945	uncharacterized protein LOC124204824 isoform X1
N0.HOG0014946	LOW QUALITY PROTEIN: heat shock protein HSP 90-beta-like
N0.HOG0014947	uncharacterized protein LOC124205206
N0.HOG0014948	uncharacterized protein LOC124205511 isoform X1
N0.HOG0014949	cysteine dioxygenase type 1-like
N0.HOG0014950	copper-metallothionein-like
N0.HOG0014951	serine/threonine-protein kinase/endoribonuclease ire-1-like
N0.HOG0014952	uncharacterized protein LOC124206361
N0.HOG0014953	uncharacterized protein LOC124207055
N0.HOG0014954	protein spinster-like
N0.HOG0014955	importin subunit alpha-2-like isoform X1
N0.HOG0014956	putative protein TPRXL
N0.HOG0014957	pickpocket protein 28-like
N0.HOG0014958	insulin-like peptide receptor
N0.HOG0014959	uncharacterized protein LOC124207727 isoform X1
N0.HOG0014960	vitelline membrane outer layer protein 1 homolog
N0.HOG0014961	pseudouridylate synthase 7 homolog
N0.HOG0014962	cullin-2-like
N0.HOG0014963	uncharacterized protein LOC124208710 isoform X1
N0.HOG0014964	uncharacterized protein LOC124208725
N0.HOG0014965	segment polarity protein dishevelled-like
N0.HOG0014966	uncharacterized protein LOC124208989
N0.HOG0014967	cysteine-rich DPF motif domain-containing protein 1-like
N0.HOG0014968	uncharacterized protein LOC124209076
N0.HOG0014969	probable tyrosine-protein phosphatase F54C8.4
N0.HOG0014970	protein white-like
N0.HOG0014971	DNA-directed RNA polymerase III subunit RPC6-like
N0.HOG0014972	uncharacterized protein LOC124343220
N0.HOG0014973	uncharacterized protein LOC124209881
N0.HOG0014974	maternal protein exuperantia-like
N0.HOG0014975	uncharacterized protein LOC124210561
N0.HOG0014976	cuticle protein 18.7-like
N0.HOG0014977	speckle-type POZ protein B-like
N0.HOG0014978	uncharacterized protein LOC124312271
N0.HOG0014979	uncharacterized protein LOC124313053
N0.HOG0014980	NFX1-type zinc finger-containing protein 1-like
N0.HOG0014981	transcription elongation factor SPT6-like
N0.HOG0014982	uncharacterized protein LOC124314893
N0.HOG0014983	uncharacterized protein LOC124315553 isoform X2
N0.HOG0014984	activating molecule in BECN1-regulated autophagy protein 1-like
N0.HOG0014985	glutamate synthase [NADH]-like
N0.HOG0014986	uncharacterized protein K02A2.6-like
N0.HOG0014987	60 kDa lysophospholipase-like isoform X2
N0.HOG0014988	protocadherin-16-like
N0.HOG0014989	spectrin beta chain-like
N0.HOG0014990	protein diaphanous homolog 3-like
N0.HOG0014991	uncharacterized protein LOC124344460
N0.HOG0014992	uncharacterized protein LOC124328444
N0.HOG0014993	WD repeat and FYVE domain-containing protein 3-like
N0.HOG0014994	zinc finger protein 62 homolog isoform X1
N0.HOG0014995	uncharacterized protein LOC124337075
N0.HOG0014996	replication protein A 70 kDa DNA-binding subunit E-like
N0.HOG0014997	uncharacterized protein LOC124337825
N0.HOG0014998	uncharacterized protein LOC124338202
N0.HOG0014999	DNA-directed RNA polymerase III subunit RPC1-like
N0.HOG0015000	zinc finger protein 64-like
N0.HOG0015001	uncharacterized protein LOC124348346
N0.HOG0015002	charged multivesicular body protein 7-like
N0.HOG0015003	uncharacterized protein LOC124349989
N0.HOG0015004	larval cuticle protein 65Ag1-like
N0.HOG0015005	hypothetical protein GHT06_007567
N0.HOG0015006	hypothetical protein GHT06_004996
N0.HOG0015007	hypothetical protein GHT06_008923
N0.HOG0015008	hypothetical protein GHT06_006607
N0.HOG0015009	hypothetical protein GHT06_006646
N0.HOG0015010	hypothetical protein GHT06_006619
N0.HOG0015011	hypothetical protein GHT06_006620
N0.HOG0015012	hypothetical protein GHT06_006651
N0.HOG0015013	hypothetical protein GHT06_007197
N0.HOG0015014	hypothetical protein GHT06_006653
N0.HOG0015015	hypothetical protein GHT06_007199
N0.HOG0015016	hypothetical protein GHT06_006625
N0.HOG0015017	hypothetical protein GHT06_006626
N0.HOG0015018	hypothetical protein GHT06_006627
N0.HOG0015019	major facilitator superfamily-like
N0.HOG0015020	hypothetical protein GHT06_006629
N0.HOG0015021	putative ankyrin-1-like
N0.HOG0015022	hypothetical protein GHT06_006662
N0.HOG0015023	Phosphate-binding protein pstS
N0.HOG0015024	putative transketolase C-termil section-like
N0.HOG0015025	2-oxoglutarate dehydrogese E2 component (dihydrolipoamide succinyltransferase)
N0.HOG0015026	hypothetical protein GHT06_006994
N0.HOG0015027	glutamyl-tR synthetase family protein
N0.HOG0015028	hypothetical protein GHT06_003752
N0.HOG0015029	putative adenosylhomocysteise-like
N0.HOG0015030	putative acetolactate synthase isozyme 3 large subunit-like
N0.HOG0015031	putative dihydroxy-acid dehydratase-like
N0.HOG0015032	hypothetical protein GHT06_021620
N0.HOG0015033	putative uncharacterized oxidoreductase
N0.HOG0015034	hypothetical protein GHT06_004499
N0.HOG0015035	hypothetical protein GHT06_004505
N0.HOG0015036	hypothetical protein GHT06_018470
N0.HOG0015037	LOW QUALITY PROTEIN: putative ATP-dependent protease ATPase subunit HslU-like
N0.HOG0015038	hypothetical protein GHT06_006345
N0.HOG0015039	hypothetical protein GHT06_020568
N0.HOG0015040	hypothetical protein GHT06_013439
N0.HOG0015041	hypothetical protein GHT06_006313
N0.HOG0015042	hypothetical protein GHT06_004940
N0.HOG0015043	hypothetical protein GHT06_013807
N0.HOG0015044	hypothetical protein GHT06_001749
N0.HOG0015045	hypothetical protein GHT06_013385
N0.HOG0015046	hypothetical protein GHT06_007676
N0.HOG0015047	hypothetical protein GHT06_018528
N0.HOG0015048	hypothetical protein GHT06_001917
N0.HOG0015049	hypothetical protein GHT06_021749
N0.HOG0015050	hypothetical protein GHT06_022214
N0.HOG0015051	hypothetical protein GHT06_020497
N0.HOG0015052	hypothetical protein GHT06_016189
N0.HOG0015053	hypothetical protein GHT06_022757
N0.HOG0015054	hypothetical protein GHT06_014678
N0.HOG0015055	hypothetical protein GHT06_016969
N0.HOG0015056	hypothetical protein GHT06_021580
N0.HOG0015057	hypothetical protein GHT06_021617
N0.HOG0015058	hypothetical protein GHT06_011486
N0.HOG0015059	hypothetical protein GHT06_016984
N0.HOG0015060	hypothetical protein GHT06_020317
N0.HOG0015061	C1q and tumor necrosis factor-related protein-like protein 2
N0.HOG0015062	hypothetical protein GHT06_014778
N0.HOG0015063	hypothetical protein GHT06_013415
N0.HOG0015064	hypothetical protein GHT06_013461
N0.HOG0015065	hypothetical protein GHT06_011878
N0.HOG0015066	hypothetical protein GHT06_011182
N0.HOG0015067	LOW QUALITY PROTEIN: ADAM 17-like protease
N0.HOG0015068	semaphorin-2A-like
N0.HOG0015069	adhesive plaque matrix protein-like
N0.HOG0015070	uncharacterized protein LOC130686668 isoform X2
N0.HOG0015071	uncharacterized protein LOC130686714
N0.HOG0015072	uncharacterized protein LOC130687020
N0.HOG0015073	uncharacterized protein LOC130687038
N0.HOG0015074	actin, muscle-type A2-like
N0.HOG0015075	uncharacterized protein LOC130687573
N0.HOG0015076	uncharacterized protein LOC130700499
N0.HOG0015077	uncharacterized protein LOC130688028
N0.HOG0015078	uncharacterized protein LOC130699912
N0.HOG0015079	DNA-directed RNA polymerase III subunit RPC4-like
N0.HOG0015080	uncharacterized protein LOC130688704 isoform X1
N0.HOG0015081	venom allergen 3 homolog
N0.HOG0015082	uncharacterized protein LOC130688826
N0.HOG0015083	hornerin-like
N0.HOG0015084	acidic mammalian chitinase-like
N0.HOG0015085	mucin-2-like
N0.HOG0015086	vascular endothelial growth factor receptor 1-like
N0.HOG0015087	uncharacterized protein LOC130689535
N0.HOG0015088	uncharacterized protein LOC130689593
N0.HOG0015089	uncharacterized protein LOC130689605 isoform X2
N0.HOG0015090	uncharacterized protein LOC130689618
N0.HOG0015091	mucin-2-like
N0.HOG0015092	serine-rich adhesin for platelets-like
N0.HOG0015093	ATP-binding cassette sub-family C member 2-like
N0.HOG0015094	gamete and mating-type specific protein A-like
N0.HOG0015095	pupal cuticle protein Edg-78E-like
N0.HOG0015096	annexin A8-like
N0.HOG0015097	uncharacterized protein LOC130690793
N0.HOG0015098	protein timeless-like isoform X1
N0.HOG0015099	TNF receptor-associated factor 4-like
N0.HOG0015100	glutamate receptor 1-like
N0.HOG0015101	larval cuticle protein III/IV-like
N0.HOG0015102	adhesive plaque matrix protein-like
N0.HOG0015103	ctenidin-1-like
N0.HOG0015104	GTP-binding protein Di-Ras2-like
N0.HOG0015105	uncharacterized protein LOC130691524
N0.HOG0015106	cuticle protein 3-like
N0.HOG0015107	uncharacterized protein LOC130691627
N0.HOG0015108	mannosylglucosyl-3-phosphoglycerate phosphatase-like
N0.HOG0015109	salivary glue protein Sgs-3-like
N0.HOG0015110	uncharacterized protein LOC130692203
N0.HOG0015111	probable chitinase 10
N0.HOG0015112	uncharacterized protein LOC130692375
N0.HOG0015113	uncharacterized protein LOC130697287
N0.HOG0015114	uncharacterized protein LOC130692812
N0.HOG0015115	serine/threonine-protein kinase/endoribonuclease ire-1-like
N0.HOG0015116	poly(U)-binding-splicing factor PUF60-like isoform X1
N0.HOG0015117	carbonic anhydrase 2-like
N0.HOG0015118	uncharacterized protein LOC130693090
N0.HOG0015119	uncharacterized protein LOC130693103
N0.HOG0015120	collagen alpha-1(I) chain-like
N0.HOG0015121	proton-coupled folate transporter-like
N0.HOG0015122	uncharacterized protein LOC130693874
N0.HOG0015123	pseudouridylate synthase 7 homolog
N0.HOG0015124	neprilysin-1-like isoform X2
N0.HOG0015125	uncharacterized protein LOC130693760 isoform X1
N0.HOG0015126	uncharacterized protein LOC130693910
N0.HOG0015127	failed axon connections homolog
N0.HOG0015128	uncharacterized protein LOC130694066
N0.HOG0015129	probable ATP-dependent RNA helicase DDX17 isoform X2
N0.HOG0015130	chorion peroxidase-like
N0.HOG0015131	BOS complex subunit TMEM147-like
N0.HOG0015132	uncharacterized protein LOC130694473
N0.HOG0015133	neuroglian-like
N0.HOG0015134	actin nucleation-promoting factor WAS-like
N0.HOG0015135	uncharacterized protein K02A2.6-like
N0.HOG0015136	LOW QUALITY PROTEIN: histone lysine acetyltransferase CREBBP-like
N0.HOG0015137	beta-galactosidase-1-like protein 2
N0.HOG0015138	LOW QUALITY PROTEIN: discoidin domain-containing receptor 2-like
N0.HOG0015139	discoidin domain-containing receptor 2-like
N0.HOG0015140	cysteine desulfurase-like
N0.HOG0015141	medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like
N0.HOG0015142	beta-1,4-N-acetylgalactosaminyltransferase bre-4-like isoform X1
N0.HOG0015143	uncharacterized protein LOC130698026
N0.HOG0015144	salivary glue protein Sgs-3-like isoform X1
N0.HOG0015145	sulfotransferase 1A1-like isoform X2
N0.HOG0015146	LOW QUALITY PROTEIN: sulfotransferase 1A3-like
N0.HOG0015147	uncharacterized protein LOC130698265
N0.HOG0015148	uncharacterized protein LOC130698433 isoform X1
N0.HOG0015149	uncharacterized protein LOC130699599
N0.HOG0015150	chorion peroxidase-like
N0.HOG0015151	uncharacterized protein LOC130699888
N0.HOG0015152	neurotrophin 1-like isoform X1
N0.HOG0015153	uncharacterized protein LOC130700477
N0.HOG0015154	mucin-2-like
N0.HOG0015155	uncharacterized protein LOC130701078
N0.HOG0015156	protein kinase C-like
N0.HOG0015157	uncharacterized protein LOC130701164
N0.HOG0015158	nose resistant to fluoxetine protein 6-like isoform X1
N0.HOG0015159	uncharacterized protein LOC130702735
N0.HOG0015160	uncharacterized protein LOC130701720
N0.HOG0015161	synaptic vesicle membrane protein VAT-1 homolog-like
N0.HOG0015162	zinc finger CCHC domain-containing protein 10-like
N0.HOG0015163	protein TFG-like
N0.HOG0015164	uncharacterized protein LOC130702109
N0.HOG0015165	coiled-coil and C2 domain-containing protein 1B-like
N0.HOG0015166	proclotting enzyme-like
N0.HOG0015167	uncharacterized protein LOC130702539
N0.HOG0015168	basic proline-rich protein-like
N0.HOG0015169	DNA-directed RNA polymerase III subunit RPC1-like
N0.HOG0015170	LIM and SH3 domain protein Lasp-like isoform X2
N0.HOG0015171	uncharacterized protein LOC130702786
N0.HOG0015172	zinc finger protein ubi-d4-like isoform X2
N0.HOG0015173	uncharacterized protein LOC130702814
N0.HOG0015174	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
N0.HOG0015175	chymotrypsin-like elastase family member 2A isoform X1
N0.HOG0015176	E3 ubiquitin-protein ligase HERC2-like
N0.HOG0015177	uncharacterized protein LOC130703073
N0.HOG0015178	uncharacterized protein LOC130702954
N0.HOG0015179	protein Star-like
N0.HOG0015180	uncharacterized protein LOC130703041
N0.HOG0015181	bystin-like
N0.HOG0015182	uncharacterized protein LOC130703149
N0.HOG0015183	putative inorganic phosphate cotransporter
N0.HOG0015184	uncharacterized protein LOC130703640
N0.HOG0015185	uncharacterized protein LOC130703759
N0.HOG0015186	uncharacterized protein LOC130703767
N0.HOG0015187	glucose dehydrogenase [FAD, quinone]-like
N0.HOG0015188	uncharacterized protein LOC130703803
N0.HOG0015189	solute carrier organic anion transporter family member 74D-like isoform X1
N0.HOG0015190	all trans-polyprenyl-diphosphate synthase PDSS2-like
N0.HOG0015191	uncharacterized protein LOC130704018
N0.HOG0015192	unnamed protein product
N0.HOG0015193	unnamed protein product
N0.HOG0015194	unnamed protein product
N0.HOG0015195	unnamed protein product
N0.HOG0015196	unnamed protein product
N0.HOG0015197	unnamed protein product
N0.HOG0015198	unnamed protein product
N0.HOG0015199	unnamed protein product
N0.HOG0015200	unnamed protein product
N0.HOG0015201	unnamed protein product
N0.HOG0015202	unnamed protein product
N0.HOG0015203	unnamed protein product
N0.HOG0015204	unnamed protein product
N0.HOG0015205	unnamed protein product
N0.HOG0015206	unnamed protein product
N0.HOG0015207	unnamed protein product
N0.HOG0015208	unnamed protein product
N0.HOG0015209	unnamed protein product
N0.HOG0015210	unnamed protein product
N0.HOG0015211	unnamed protein product
N0.HOG0015212	unnamed protein product
N0.HOG0015213	unnamed protein product
N0.HOG0015214	unnamed protein product
N0.HOG0015215	unnamed protein product
N0.HOG0015216	unnamed protein product
N0.HOG0015217	unnamed protein product
N0.HOG0015218	unnamed protein product
N0.HOG0015219	unnamed protein product
N0.HOG0015220	unnamed protein product
N0.HOG0015221	unnamed protein product
N0.HOG0015222	unnamed protein product
N0.HOG0015223	unnamed protein product, partial
N0.HOG0015224	unnamed protein product
N0.HOG0015225	unnamed protein product
N0.HOG0015226	unnamed protein product
N0.HOG0015227	unnamed protein product
N0.HOG0015228	unnamed protein product, partial
N0.HOG0015229	unnamed protein product
N0.HOG0015230	unnamed protein product
N0.HOG0015231	unnamed protein product
N0.HOG0015232	unnamed protein product
N0.HOG0015233	unnamed protein product
N0.HOG0015234	unnamed protein product
N0.HOG0015235	unnamed protein product
N0.HOG0015236	unnamed protein product
N0.HOG0015237	unnamed protein product
N0.HOG0015238	unnamed protein product, partial
N0.HOG0015239	unnamed protein product
N0.HOG0015240	unnamed protein product
N0.HOG0015241	unnamed protein product
N0.HOG0015242	unnamed protein product
N0.HOG0015243	unnamed protein product
N0.HOG0015244	unnamed protein product
N0.HOG0015245	unnamed protein product
N0.HOG0015246	unnamed protein product
N0.HOG0015247	unnamed protein product
N0.HOG0015248	unnamed protein product
N0.HOG0015249	unnamed protein product
N0.HOG0015250	unnamed protein product
N0.HOG0015251	unnamed protein product
N0.HOG0015252	unnamed protein product
N0.HOG0015253	unnamed protein product
N0.HOG0015254	unnamed protein product
N0.HOG0015255	unnamed protein product
N0.HOG0015256	unnamed protein product
N0.HOG0015257	unnamed protein product
N0.HOG0015258	unnamed protein product
N0.HOG0015259	unnamed protein product, partial
N0.HOG0015260	unnamed protein product
N0.HOG0015261	unnamed protein product
N0.HOG0015262	unnamed protein product
N0.HOG0015263	unnamed protein product
N0.HOG0015264	unnamed protein product
N0.HOG0015265	unnamed protein product
N0.HOG0015266	unnamed protein product
N0.HOG0015267	unnamed protein product
N0.HOG0015268	unnamed protein product, partial
N0.HOG0015269	unnamed protein product
N0.HOG0015270	unnamed protein product
N0.HOG0015271	unnamed protein product
N0.HOG0015272	unnamed protein product
N0.HOG0015273	unnamed protein product
N0.HOG0015274	unnamed protein product
N0.HOG0015275	unnamed protein product
N0.HOG0015276	unnamed protein product
N0.HOG0015277	unnamed protein product
N0.HOG0015278	unnamed protein product
N0.HOG0015279	unnamed protein product
N0.HOG0015280	unnamed protein product
N0.HOG0015281	unnamed protein product
N0.HOG0015282	unnamed protein product
N0.HOG0015283	unnamed protein product
N0.HOG0015284	unnamed protein product
N0.HOG0015285	unnamed protein product
N0.HOG0015286	unnamed protein product
N0.HOG0015287	unnamed protein product
